node	children_node
361	0,15,165,224,225,279
362	0,165,224,225,238,279
363	0,165,238,279
364	3,36,46,58,62,63,68,69,72,82,86,88,112,118,135,139,145,152,153,154,157,159,168,228,255,269,277,292,303,318,348
365	6
366	6
367	6,175
368	6
369	6
370	6,10,54,165,224,225
371	6,10
372	6,51
373	6
374	6,51
375	6
376	6
377	6
378	6
379	7,165,224,225,238,292
380	10,81,99,165,210,224,225,279
381	10,165,224,225,238,279
382	10,54,165,189,224,226
383	15,216
384	15
385	15,105,115
386	15,42,63,70,71,81,86,92,98,112,136,138,165,189,202,204,216,217,260,294,317
387	15
388	15,126,127
389	15,216
390	15,216
391	15,216
392	15,127,168,216,281
393	30,63,68,168,238,279
394	32,69
395	38,277
396	51,68,175
397	51,168
398	53,168,238,241,267,279
399	53,168,241,267
400	54
401	54,237
402	54,237
403	54,165,224,225,238,279
404	54,279
405	54,105,189
406	54
407	54,238,309
408	61,159
409	61,62,159,236,346
410	61,62,159,236
411	73,105,115,168
412	105,238
413	108,135,161
414	115,168
415	125
416	125,329
417	126,175,216
418	127
419	130
420	130,139,157,193,202,216,222,262
421	165,216
422	168
423	216,279
424	216
425	222
426	238,279
427	238
428	241,267
429	246
430	250
431	304
432	304
433	329
434	329
435	345,346
436	365
437	431
438	366,408
439	425
440	369
441	394
442	374,375,432,433,434
443	422
444	370,400,401,402
445	379,393,412
446	403
447	371,381,398,426
448	382,404
449	361,407,423,424
450	361,362
451	416,427
452	419
453	385,411,414
454	396
455	383,387
456	388
457	395
458	372,373
459	418
460	367,454
461	440
462	405,406,448
463	417,458
464	390,391,457
465	399,443
466	439
467	437,456,459
468	380,453
469	438
470	363,436
471	410,413,415,429,444,462,469,470
472	468
473	373,428,430,465
474	372,376,473
475	368,372,473
476	473
477	372,377,473
478	372,378,473
479	372,376,473
480	477
481	479
482	479
483	474
484	474
485	386,389,420,421,449,450,455,463,464,472,476
486	435,478
487	384,392,452,467,485
488	474,480
489	486
490	486
491	483,484
492	409,475,481,482,488,489,490,491
493	364,397,441,442,445,446,447,451,460,461,466,492
494	471,487,493
