node	children_node
361	5,53,263
362	5,28,151,280,304,313,332
363	5,333
364	9,274,305,328,329,339
365	9,30,90,105,168
366	9,125,305,328,332
367	10,28,55,151,189,226
368	22,189,226
369	30,263
370	31,40,49,93,329,347
371	40,47,90,94,95,101,132,212,260,268,289,300,327,335
372	40,47,256
373	47,305,328,344
374	63
375	73,305
376	85,305
377	105
378	189,304,305,328
379	256
380	263
381	263
382	263,305,328
383	263
384	263,305,328,333
385	263
386	263
387	263
388	263
389	263
390	263
391	280
392	305
393	305,328,333
394	329
395	331
396	374
397	376,392
398	379,393
399	382,395
400	394
401	367
402	384,385
403	380,381
404	386,389
405	377
406	369,375,391
407	365
408	366
409	373
410	398,399
411	362,378,401
412	388,402
413	372,407
414	361,368,400,411
415	363,364,370,371,397,405,406,408,409,413,414
416	383,387,390,403,404,415
417	396,410,412,416
