node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	82
362	75
363	23
364	13
365	11
366	12
367	12
368	11
369	17
370	13
371	10
372	11
373	11
374	11
375	3
376	11
377	72
378	90
379	6
380	6
381	9
382	8
383	12
384	16
385	6
386	11
387	9
388	2
389	4
390	18
391	18
392	17
393	10
394	44
395	4
396	4
397	32
398	32
399	32
400	22
401	22
402	9
403	9
404	8
405	9
406	8
407	8
408	8
409	7
410	6
411	6
412	6
413	5
414	5
415	7
416	6
417	6
418	8
419	8
420	5
421	6
422	5
423	5
424	5
425	2
426	6
427	2
428	8
429	6
430	8
431	8
432	12
433	12
434	12
435	12
436	6
437	8
438	7
439	6
440	4
441	17
442	17
443	18
444	5
445	9
446	8
447	6
448	9
449	5
450	4
451	4
452	7
453	2
454	6
455	6
456	5
457	8
458	5
459	8
460	6
461	3
462	6
463	5
464	8
465	9
466	9
467	9
468	16
469	16
470	16
471	8
472	5
473	6
474	6
475	5
476	5
477	6
478	7
479	8
480	8
481	8
482	9
483	9
484	2
485	8
486	2
487	7
488	7
489	7
490	6
491	6
492	5
493	5
494	5
495	7
496	7
497	7
498	7
499	7
500	5
501	6
502	8
503	6
504	7
505	7
506	10
507	10
508	10
509	8
510	14
511	7
512	11
513	17
514	4
515	4
516	17
517	17
518	4
519	2
520	4
521	2
522	4
523	8
524	3
525	5
526	3
527	4
528	3
529	4
530	4
531	4
532	4
533	3
534	3
535	3
536	3
537	13
538	18
539	15
540	5
541	8
542	7
543	5
544	7
545	11
546	12
547	10
548	11
549	9
550	12
551	10
552	11
553	9
554	23
555	21
556	13
557	14
558	16
559	15
560	15
561	9
562	10
563	10
564	19
565	16
566	15
567	13
568	14
569	15
570	7
571	4
572	4
573	13
574	13
575	3
576	3
577	5
578	5
579	6
580	15
581	4
582	4
583	20
584	20
585	21
586	16
587	3
588	3
589	12
590	9
591	9
592	6
593	1
594	3
595	1
596	1
597	2
598	2
599	2
600	4
601	8
602	3
603	3
604	3
605	4
606	3
607	4
608	3
609	4
610	3
611	2
612	2
613	2
614	3
615	3
616	6
617	37
618	38
619	8
620	7
621	4
622	3
623	22
624	31
625	33
626	31
627	31
628	18
629	40
630	22
631	31
632	8
633	33
634	17
635	17
636	3
637	5
638	4
639	2
640	9
641	10
642	16
643	15
644	8
645	3
646	2
647	4
648	6
649	7
650	1
651	21
652	1
653	88
654	5
655	3
656	1
657	6
658	11
659	6
660	11
661	14
662	11
663	9
664	5
665	9
666	9
667	5
668	5
669	6
670	7
671	5
672	4
673	3
674	8
675	8
676	8
677	4
678	2
679	9
680	10
681	8
682	8
683	14
684	8
685	7
686	14
687	38
688	40
689	40
690	38
691	43
692	37
693	7
694	10
695	8
696	11
697	8
698	10
699	10
700	9
701	11
702	18
703	14
704	14
705	21
706	21
707	21
708	6
709	9
710	17
711	8
712	7
713	7
714	42
715	7
716	5
717	3
718	38
719	2
720	2
721	124
722	3
723	3
724	3
725	3
726	36
727	36
728	12
729	4
730	4
731	4
732	4
733	4
734	4
735	4
736	4
737	3
738	3
739	13
740	102
741	4
742	4
743	4
744	3
745	2
746	3
747	3
748	2
749	62
750	3
751	1
752	74
753	13
754	13
755	14
756	13
757	15
758	14
759	15
760	14
761	13
762	13
763	13
764	9
765	9
766	9
767	36
768	35
769	35
770	35
771	29
772	29
773	36
774	36
775	34
776	34
777	34
778	34
779	36
780	34
781	36
782	34
783	29
784	34
785	34
786	34
787	3
788	4
789	3
790	4
791	4
792	6
793	6
794	5
795	3
796	29
797	4
798	4
799	4
800	4
801	8
802	2
803	6
804	7
805	4
806	8
807	13
808	6
809	3
810	21
811	21
812	21
