node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	9
309	12
310	3
311	5
312	23
313	13
314	17
315	13
316	3
317	5
318	72
319	90
320	1
321	9
322	8
323	12
324	4
325	6
326	6
327	16
328	11
329	12
330	9
331	5
332	1
333	20
334	3
335	22
336	5
337	3
338	3
339	3
340	3
341	3
342	10
343	10
344	4
345	4
346	2
347	2
348	4
349	4
350	4
351	4
352	6
353	6
354	6
355	6
356	6
357	8
358	9
359	8
360	8
361	7
362	7
363	8
364	7
365	6
366	5
367	5
368	7
369	6
370	6
371	8
372	8
373	5
374	5
375	5
376	5
377	10
378	7
379	7
380	10
381	6
382	7
383	6
384	4
385	17
386	17
387	18
388	5
389	9
390	8
391	6
392	9
393	5
394	4
395	4
396	7
397	2
398	6
399	6
400	5
401	8
402	5
403	8
404	6
405	3
406	6
407	5
408	8
409	9
410	9
411	9
412	16
413	16
414	16
415	7
416	8
417	5
418	6
419	6
420	5
421	5
422	6
423	7
424	8
425	8
426	8
427	9
428	9
429	2
430	8
431	2
432	7
433	8
434	7
435	6
436	7
437	9
438	8
439	9
440	9
441	7
442	7
443	6
444	8
445	8
446	6
447	4
448	6
449	6
450	6
451	6
452	4
453	5
454	5
455	5
456	8
457	8
458	6
459	6
460	8
461	8
462	8
463	7
464	7
465	7
466	6
467	6
468	17
469	4
470	4
471	17
472	17
473	10
474	2
475	1
476	2
477	2
478	13
479	1
480	3
481	1
482	1
483	2
484	5
485	5
486	2
487	2
488	2
489	1
490	21
491	2
492	1
493	88
494	19
495	8
496	4
497	7
498	6
499	5
500	5
501	5
502	6
503	7
504	8
505	2
506	38
507	40
508	40
509	38
510	43
511	37
512	10
513	10
514	9
515	11
516	18
517	14
518	14
519	21
520	21
521	21
522	6
523	9
524	9
525	17
526	9
527	8
528	8
529	7
530	7
531	42
532	7
533	5
534	3
535	8
536	38
537	124
538	5
539	2
540	7
541	4
542	36
543	36
544	12
545	4
546	4
547	3
548	3
549	13
550	102
551	4
552	4
553	4
554	3
555	1
556	3
557	3
558	2
559	4
560	4
561	4
562	62
563	3
564	1
565	74
566	5
567	3
568	3
569	8
570	13
571	12
572	13
573	13
574	36
575	35
576	35
577	35
578	29
579	29
580	36
581	36
582	34
583	34
584	34
585	34
586	36
587	34
588	36
589	34
590	29
591	34
592	34
593	34
594	1
595	13
596	2
597	21
598	39
599	6
600	13
601	12
602	13
603	13
604	12
605	13
606	6
607	11
608	12
609	12
610	11
611	11
612	15
613	9
614	15
615	9
616	12
617	8
618	17
619	18
620	18
621	13
622	13
623	15
624	15
625	16
626	16
627	20
628	19
629	20
630	21
631	21
632	22
633	22
634	23
635	16
636	17
637	17
638	18
639	18
640	19
641	19
642	20
643	20
644	21
645	23
646	22
647	17
648	18
649	20
650	19
651	22
652	13
653	18
654	13
655	17
656	17
657	16
658	21
659	22
660	18
661	3
662	2
663	2
664	2
665	55
666	3
667	20
668	3
669	3
670	1
671	1
672	1
673	1
674	1
675	1
676	1
677	4
678	1
679	100
680	3
681	3
682	1
683	2
684	1
685	3
686	9
687	13
688	11
689	10
690	10
691	9
692	17
693	7
694	5
695	5
696	10
697	10
698	10
699	7
700	7
701	7
702	7
703	3
704	2
705	2
706	2
707	2
708	9
709	1
710	1
711	2
712	1
713	1
714	4
715	5
716	4
717	4
718	6
719	9
720	7
721	6
722	5
723	2
724	15
725	19
726	3
727	3
728	4
729	4
730	3
731	7
732	7
733	18
734	17
735	6
736	15
737	16
738	15
739	15
740	15
741	15
742	15
743	15
744	15
745	15
746	15
747	15
748	15
749	15
750	15
751	15
752	15
753	15
754	15
755	15
756	15
757	15
758	15
759	15
760	15
761	15
762	15
763	15
764	15
765	15
766	4
767	12
768	2
769	52
770	52
771	17
772	6
773	4
774	5
775	4
776	6
777	6
778	5
779	4
780	4
781	4
782	4
783	4
784	4
785	4
786	4
787	6
788	4
789	4
790	4
791	3
792	4
793	4
794	4
795	4
796	4
797	5
798	1
799	7
800	1
801	1
802	1
803	1
804	1
805	3
806	7
807	56
808	61
809	8
810	2
811	1
812	1
