node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	1
362	1
363	1
364	1
365	9
366	12
367	3
368	5
369	82
370	75
371	11
372	12
373	12
374	11
375	3
376	5
377	10
378	11
379	11
380	11
381	3
382	11
383	4
384	1
385	3
386	2
387	55
388	2
389	4
390	4
391	9
392	2
393	5
394	4
395	1
396	20
397	3
398	22
399	4
400	5
401	3
402	3
403	3
404	3
405	3
406	10
407	9
408	44
409	10
410	7
411	3
412	10
413	10
414	5
415	2
416	6
417	4
418	4
419	2
420	2
421	32
422	32
423	32
424	22
425	22
426	9
427	9
428	3
429	4
430	3
431	4
432	4
433	5
434	4
435	4
436	5
437	6
438	4
439	4
440	6
441	5
442	4
443	18
444	16
445	16
446	16
447	7
448	7
449	7
450	7
451	7
452	6
453	8
454	6
455	7
456	7
457	10
458	10
459	10
460	8
461	14
462	7
463	5
464	10
465	8
466	7
467	12
468	5
469	1
470	2
471	2
472	2
473	13
474	4
475	3
476	13
477	18
478	15
479	14
480	9
481	12
482	9
483	11
484	14
485	9
486	23
487	21
488	13
489	14
490	16
491	15
492	15
493	9
494	10
495	10
496	19
497	16
498	15
499	14
500	9
501	9
502	9
503	13
504	15
505	13
506	13
507	3
508	3
509	5
510	5
511	6
512	15
513	13
514	20
515	20
516	21
517	2
518	16
519	12
520	9
521	9
522	6
523	5
524	5
525	2
526	2
527	4
528	8
529	3
530	3
531	51
532	52
533	3
534	2
535	8
536	2
537	2
538	3
539	3
540	6
541	37
542	38
543	8
544	7
545	4
546	3
547	22
548	31
549	33
550	31
551	31
552	18
553	40
554	22
555	31
556	8
557	33
558	17
559	17
560	3
561	5
562	4
563	2
564	9
565	10
566	16
567	15
568	8
569	3
570	4
571	6
572	7
573	2
574	5
575	3
576	7
577	2
578	5
579	9
580	5
581	5
582	19
583	8
584	4
585	7
586	6
587	5
588	6
589	1
590	1
591	1
592	6
593	8
594	8
595	8
596	2
597	5
598	4
599	3
600	8
601	7
602	7
603	11
604	8
605	6
606	9
607	9
608	8
609	7
610	7
611	2
612	2
613	3
614	3
615	2
616	2
617	5
618	3
619	2
620	2
621	5
622	2
623	3
624	3
625	3
626	3
627	3
628	12
629	4
630	4
631	3
632	4
633	2
634	1
635	4
636	4
637	4
638	1
639	2
640	2
641	8
642	14
643	13
644	15
645	14
646	15
647	14
648	13
649	13
650	36
651	35
652	35
653	35
654	29
655	29
656	36
657	36
658	34
659	34
660	34
661	34
662	36
663	34
664	36
665	34
666	29
667	34
668	34
669	34
670	52
671	3
672	4
673	5
674	7
675	3
676	5
677	3
678	7
679	3
680	3
681	8
682	5
683	3
684	29
685	4
686	4
687	4
688	4
689	8
690	2
691	6
692	7
693	4
694	8
695	13
696	3
697	4
698	7
699	9
700	7
701	8
702	10
703	8
704	2
705	3
706	1
707	13
708	6
709	3
710	21
711	21
712	21
713	39
714	12
715	10
716	18
717	13
718	16
719	15
720	18
721	18
722	15
723	16
724	16
725	15
726	13
727	13
728	22
729	23
730	18
731	20
732	18
733	19
734	16
735	17
736	15
737	20
738	15
739	11
740	18
741	20
742	15
743	17
744	16
745	16
746	16
747	16
748	18
749	19
750	18
751	18
752	21
753	18
754	18
755	20
756	20
757	21
758	24
759	13
760	13
761	13
762	15
763	15
764	13
765	15
766	18
767	15
768	15
769	17
770	17
771	21
772	18
773	18
774	20
775	23
776	13
777	13
778	13
779	18
780	15
781	18
782	18
783	7
784	20
785	23
786	21
787	18
788	2
789	4
790	4
791	2
792	5
793	5
794	2
795	2
796	3
797	31
798	31
799	32
800	32
801	33
802	2
803	3
804	2
805	3
806	2
807	3
808	3
809	6
810	4
811	3
812	3
