node_name	children_node_name
R-HSA-2045911	P27986,O00329
R-HSA-2076220	P62993,P27986,O00329
R-HSA-508247	P62993,P42338,P42336,P27986,O60674,O00329
R-HSA-879917	P62993,P43405,P42338,P42336,P27986,O00329
R-HSA-912627	P62993,P43405,P42338,P42336,P27986,O00329
R-HSA-912629	P62993,P43405,P42338,P42336,P27986,O00329
R-HSA-9606160	P27986,O00329
R-HSA-9606887	P62993,P27986,O00329
R-HSA-6798747	P25105,P25090,P00749,O14672
R-HSA-6799350	P25090,P20701,P00749,O14672
R-HSA-176116	O14757
R-HSA-5685230	O14757
R-HSA-6797712	P51946,O14757
R-HSA-9007539	O14757
R-HSA-9007546	O14757
R-HSA-9007591	O14757
R-HSA-1168638	O14920
R-HSA-168910	O14920
R-HSA-2730876	O14920
R-HSA-5357831	O14920
R-HSA-8863895	O14920
R-HSA-9014343	O14920
R-HSA-933530	O14920
R-HSA-937029	O14920
R-HSA-1483182	O14939
R-HSA-2029471	O14939
R-HSA-1912388	Q9BY41,Q92769,Q13547,P56524,O15379
R-HSA-2220982	Q9BY41,Q92769,Q13547,P56524,O15379
R-HSA-350058	Q9BY41,Q92769,Q13547,P56524,O15379
R-HSA-8877922	O15379
R-HSA-8986939	P17612,O15379
R-HSA-9005585	O15379
R-HSA-9008137	O15379
R-HSA-202459	O15530
R-HSA-6795473	O15530
R-HSA-1067646	O60674
R-HSA-1067651	O60674
R-HSA-1067659	O60674
R-HSA-1067688	O60674
R-HSA-1112510	O60674
R-HSA-1112514	O60674
R-HSA-1112565	P40763,O60674
R-HSA-1112602	P40763,O60674
R-HSA-1112604	P40763,O60674
R-HSA-1112690	O60674
R-HSA-1112703	O60674
R-HSA-1112708	O60674
R-HSA-1112727	P40763,O60674
R-HSA-1112755	O60674
R-HSA-1168393	O60674
R-HSA-1168394	O60674
R-HSA-1168423	O60674
R-HSA-1168445	P18031,O60674
R-HSA-1168456	O60674
R-HSA-1168459	P28482,O60674
R-HSA-1168767	P40763,O60674
R-HSA-1168768	P40763,O60674
R-HSA-1168809	O60674
R-HSA-1168813	O60674
R-HSA-1168839	O60674
R-HSA-1168894	O60674
R-HSA-1169188	O60674
R-HSA-1169192	P18031,O60674
R-HSA-1169210	P18031,O60674
R-HSA-1302698	O60674
R-HSA-1364043	O60674
R-HSA-1364044	O60674
R-HSA-1369080	O60674
R-HSA-1370505	O60674
R-HSA-1671687	O60674
R-HSA-1671691	O60674
R-HSA-1675473	O60674
R-HSA-449976	O60674
R-HSA-450031	O60674
R-HSA-453104	P62993,O60674
R-HSA-453111	P62993,O60674
R-HSA-5672969	P15056,P12931,O60674
R-HSA-5696482	O60674
R-HSA-6783524	O60674
R-HSA-6783530	O60674
R-HSA-6783552	O60674
R-HSA-6783556	O60674
R-HSA-6783681	O60674
R-HSA-6784189	O60674
R-HSA-6784204	O60674
R-HSA-6785821	O60674
R-HSA-6785898	O60674
R-HSA-6786050	O60674
R-HSA-6786058	O60674
R-HSA-6786070	O60674
R-HSA-6786072	P40763,O60674
R-HSA-6786092	O60674
R-HSA-6786095	P40763,O60674
R-HSA-6786096	O60674
R-HSA-6786101	O60674
R-HSA-6786110	O60674
R-HSA-6786114	O60674
R-HSA-6786124	P40763,O60674
R-HSA-6788571	P40763,O60674
R-HSA-6788582	P40763,O60674
R-HSA-6788628	P40763,O60674
R-HSA-6802916	P15056,P12931,O60674
R-HSA-6802924	P15056,P12931,O60674
R-HSA-6802941	P15056,P12931,O60674
R-HSA-873918	O60674
R-HSA-873919	O60674
R-HSA-873921	O60674
R-HSA-873922	O60674
R-HSA-873924	O60674
R-HSA-873926	O60674
R-HSA-873927	O60674
R-HSA-877269	O60674
R-HSA-877308	P18031,O60674
R-HSA-879907	O60674
R-HSA-879910	O60674
R-HSA-879925	O60674
R-HSA-879934	O60674
R-HSA-879937	O60674
R-HSA-879942	O60674
R-HSA-8950737	O60674
R-HSA-8987104	P40763,O60674
R-HSA-8987141	P40763,O60674
R-HSA-8987156	P40763,O60674
R-HSA-8987179	O60674
R-HSA-8987220	O60674
R-HSA-909552	Q05655,O60674
R-HSA-912527	P62993,O60674
R-HSA-913370	O60674
R-HSA-913371	O60674
R-HSA-913374	O60674
R-HSA-913424	P62993,O60674
R-HSA-982768	O60674
R-HSA-982775	O60674
R-HSA-982778	O60674
R-HSA-982792	O60674
R-HSA-982807	O60674
R-HSA-982810	O60674
R-HSA-70609	O94925
R-HSA-2130194	P00519
R-HSA-8956639	P00519
R-HSA-8985227	P00519
R-HSA-1248677	P00533
R-HSA-8874797	P00533
R-HSA-159843	P00734
R-HSA-8852716	P08246,P00734
R-HSA-9015379	P00734
R-HSA-9603302	P00734
R-HSA-158959	P00749
R-HSA-8950623	P00915
R-HSA-9021170	Q92731,P03372
R-HSA-376419	Q96RI1,Q92731,Q13133,Q03181,P55055,P51449,P37231,P19793,P11473,P10828,P10826,P10275,P04150,P03372
R-HSA-382096	Q96RI1,Q92731,Q13133,Q03181,P55055,P51449,P37231,P19793,P11473,P10828,P10826,P10275,P04150,P03372
R-HSA-8864395	P03372
R-HSA-8937369	P03372
R-HSA-8939201	Q92731,P03372
R-HSA-8939900	P04150,P03372
R-HSA-9008271	P03372
R-HSA-9038029	Q92731,P03372
R-HSA-1602473	P03956
R-HSA-6789615	P40763,P14780,P09038,P08254,P08253,P03956
R-HSA-5693807	P04066
R-HSA-6798751	Q9UHL4,Q05655,P55072,P28482,P08246,P04066
R-HSA-9625693	P04150
R-HSA-9625699	P04150
R-HSA-8864466	P04626
R-HSA-1296421	P08238,P05067
R-HSA-844440	P08238,P05067
R-HSA-844610	P08238,P05067
R-HSA-844612	P29466,P08238,P05067
R-HSA-168136	P53779,P45983,P05412
R-HSA-168440	P05412
R-HSA-6806394	P05412
R-HSA-6806412	P05412
R-HSA-8944047	P28482,P05412
R-HSA-202214	P06239
R-HSA-202216	P43403,P06239
R-HSA-202233	P06239
R-HSA-202245	P43403,P06239
R-HSA-202248	P43403,P06239
R-HSA-202307	P06239
R-HSA-210289	P43405,P06239
R-HSA-2395412	P43405,P06239
R-HSA-2395439	P06239
R-HSA-2395801	P43405,P06239
R-HSA-2396594	P62993,P43405,P06239
R-HSA-2424480	P43405,P42338,P42336,P27986,P06239
R-HSA-2424482	P43405,P42338,P42336,P27986,P06239
R-HSA-2424484	P62993,P43405,P06239
R-HSA-2424486	P62993,P43405,P06239
R-HSA-2424487	P62993,P43405,P06239
R-HSA-388829	P12931,P06239
R-HSA-388832	P42336,P27986,P06239
R-HSA-388833	P12931,P06239
R-HSA-389158	P42336,P27986,P06239
R-HSA-389758	P06239
R-HSA-389759	P06239
R-HSA-389762	P06239
R-HSA-434836	P43405,P06239
R-HSA-8855381	P43403,P06239
R-HSA-170084	P06493
R-HSA-170088	P06493
R-HSA-6793661	P24941,P06493
R-HSA-69754	P06493
R-HSA-69756	P06493
R-HSA-6800434	Q16769,P62937,P55072,P28482,P25774,P14780,P09960,P09917,P09211,P08238,P07900,P07858,P07384
R-HSA-2130349	P43235,P25774,P07858,P07711
R-HSA-2130504	P43235,P25774,P07858,P07711
R-HSA-2130706	P43235,P25774,P07858,P07711
R-HSA-419644	P08238,P07900
R-HSA-419645	P08238,P07900
R-HSA-5601883	P07900
R-HSA-6790041	P40763,P31749,P27986,P07900
R-HSA-6798748	Q13464,P62937,P55072,P09917,P09211,P08238,P07900
R-HSA-9626235	P08238,P07900
R-HSA-9626253	P08238,P07900
R-HSA-9626256	P08238,P07900
R-HSA-9626276	P08238,P07900
R-HSA-1306876	P08238
R-HSA-873951	P08238
R-HSA-874087	P08238
R-HSA-6798749	Q16769,P22894,P08246
