node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	3
362	5
363	23
364	13
365	17
366	13
367	3
368	5
369	72
370	90
371	3
372	2
373	55
374	2
375	4
376	4
377	9
378	8
379	12
380	4
381	6
382	6
383	16
384	11
385	12
386	9
387	2
388	4
389	18
390	18
391	17
392	9
393	10
394	7
395	3
396	4
397	2
398	6
399	6
400	6
401	6
402	6
403	8
404	9
405	8
406	8
407	7
408	7
409	8
410	7
411	6
412	5
413	5
414	7
415	6
416	6
417	8
418	8
419	5
420	5
421	5
422	5
423	10
424	7
425	7
426	10
427	7
428	6
429	4
430	17
431	17
432	18
433	5
434	9
435	8
436	6
437	9
438	5
439	4
440	4
441	7
442	2
443	6
444	6
445	5
446	8
447	5
448	8
449	6
450	3
451	6
452	5
453	8
454	9
455	9
456	9
457	16
458	16
459	16
460	7
461	8
462	5
463	6
464	6
465	5
466	5
467	6
468	7
469	8
470	8
471	8
472	9
473	9
474	2
475	8
476	2
477	7
478	7
479	7
480	9
481	8
482	9
483	9
484	7
485	2
486	6
487	4
488	6
489	6
490	6
491	6
492	4
493	5
494	5
495	5
496	8
497	8
498	6
499	6
500	8
501	8
502	8
503	7
504	7
505	7
506	6
507	6
508	17
509	4
510	4
511	17
512	17
513	10
514	2
515	2
516	13
517	4
518	3
519	1
520	2
521	1
522	3
523	1
524	1
525	2
526	2
527	2
528	51
529	52
530	3
531	2
532	2
533	8
534	2
535	1
536	21
537	1
538	88
539	7
540	2
541	5
542	5
543	5
544	6
545	7
546	8
547	5
548	4
549	38
550	40
551	40
552	38
553	43
554	37
555	10
556	10
557	9
558	11
559	18
560	14
561	14
562	21
563	21
564	21
565	6
566	9
567	9
568	17
569	9
570	8
571	8
572	7
573	7
574	42
575	7
576	5
577	3
578	8
579	38
580	2
581	3
582	3
583	2
584	5
585	3
586	2
587	2
588	124
589	7
590	4
591	36
592	36
593	12
594	3
595	3
596	12
597	13
598	102
599	4
600	4
601	4
602	3
603	3
604	3
605	2
606	62
607	3
608	1
609	74
610	5
611	3
612	3
613	8
614	13
615	12
616	13
617	13
618	36
619	35
620	35
621	35
622	29
623	29
624	36
625	36
626	34
627	34
628	34
629	34
630	36
631	34
632	36
633	34
634	29
635	34
636	34
637	34
638	52
639	2
640	39
641	6
642	13
643	12
644	13
645	13
646	12
647	13
648	6
649	11
650	12
651	12
652	11
653	11
654	15
655	9
656	15
657	9
658	12
659	8
660	17
661	18
662	18
663	13
664	13
665	15
666	15
667	16
668	16
669	20
670	19
671	20
672	21
673	21
674	22
675	22
676	23
677	16
678	17
679	17
680	18
681	18
682	19
683	19
684	20
685	20
686	21
687	23
688	22
689	17
690	18
691	20
692	19
693	22
694	13
695	18
696	13
697	17
698	17
699	16
700	21
701	22
702	18
703	3
704	2
705	4
706	4
707	4
708	1
709	55
710	1
711	1
712	1
713	1
714	1
715	1
716	1
717	1
718	2
719	3
720	3
721	3
722	20
723	3
724	3
725	1
726	1
727	1
728	1
729	1
730	1
731	1
732	1
733	100
734	2
735	2
736	2
737	2
738	3
739	3
740	3
741	3
742	3
743	2
744	3
745	9
746	11
747	10
748	10
749	4
750	9
751	7
752	5
753	5
754	10
755	10
756	10
757	7
758	7
759	7
760	7
761	3
762	6
763	4
764	4
765	5
766	2
767	15
768	2
769	19
770	4
771	3
772	2
773	2
774	6
775	4
776	4
777	6
778	4
779	4
780	4
781	4
782	4
783	4
784	4
785	4
786	4
787	2
788	4
789	4
790	4
791	4
792	4
793	4
794	4
795	7
796	1
797	1
798	1
799	1
800	1
801	3
802	7
803	56
804	61
805	8
806	3
807	7
808	5
809	5
810	9
811	9
812	3
