node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	53
362	103
363	25
364	31
365	22
366	25
367	43
368	65
369	92
370	34
371	36
372	30
373	39
374	117
375	47
376	28
377	24
378	59
379	31
380	44
381	27
382	25
383	27
384	36
385	36
386	119
387	23
388	30
389	80
390	86
391	29
392	36
393	99
394	22
395	31
396	54
397	29
398	36
399	24
400	32
401	53
402	73
403	25
404	42
405	27
406	22
407	29
408	46
409	30
410	24
411	34
412	49
413	62
414	89
415	21
416	43
417	29
418	40
419	66
420	21
421	30
422	28
423	20
424	21
425	21
426	23
427	23
428	23
429	25
430	20
431	22
432	20
433	20
434	33
435	34
436	29
437	31
438	37
439	34
440	23
441	21
442	20
443	140
444	29
445	55
446	25
447	34
448	23
449	40
450	24
451	27
452	33
453	59
454	24
455	34
456	24
457	43
458	60
459	60
460	60
461	24
462	31
463	28
464	48
465	22
466	31
467	42
468	30
469	69
470	54
471	28
472	20
473	24
474	40
475	22
476	28
477	20
478	34
479	59
480	36
481	82
482	31
483	85
484	60
485	61
486	33
487	75
488	84
489	47
490	60
491	47
492	47
493	31
494	47
495	27
496	65
497	23
498	37
499	27
500	60
501	32
502	45
503	20
504	25
505	37
506	34
507	48
508	50
509	58
510	129
511	84
512	109
513	100
514	39
515	55
516	49
517	58
518	32
519	78
520	34
521	124
522	73
523	33
524	25
525	110
526	202
527	76
528	106
529	65
530	59
531	44
532	34
533	96
534	189
535	143
536	32
537	119
538	219
539	79
540	90
541	97
542	75
543	78
544	114
545	63
546	44
547	31
548	30
549	25
550	27
551	247
552	37
553	138
554	92
555	55
556	79
557	37
558	46
559	61
560	47
561	41
562	96
563	207
564	31
565	38
566	60
567	27
568	54
569	75
570	49
571	82
572	66
573	36
574	263
575	175
576	212
577	40
578	204
579	109
580	73
581	78
582	98
583	43
584	105
585	293
586	297
587	190
588	105
589	117
590	100
591	52
592	324
593	150
594	160
595	50
596	73
597	40
598	41
599	253
600	79
601	294
602	80
603	54
604	120
605	190
606	178
607	52
608	99
609	87
610	424
611	221
612	53
613	365
614	460
615	292
616	145
617	78
618	150
619	302
620	233
621	102
622	53
623	1193
624	54
625	741
626	89
627	2114
628	1315
629	469
630	406
631	1453
632	1152
633	1213
634	2737
