node	children_node
361	5
362	5
363	5,263
364	5
365	5
366	5
367	9,274,305,328,339
368	9,274,305,328,339
369	9,274,305,328,339
370	9
371	9,125
372	9
373	9
374	10
375	10
376	10,189
377	10
378	10
379	10,189
380	10,189
381	10
382	10,189
383	10
384	10,189
385	22
386	28
387	30
388	30
389	31
390	31
391	40,327
392	40,47,90,94,95,101,132,212,260,268,289,300,327,335
393	40,47,90,94,95,101,132,212,260,268,289,300,327,335
394	40
395	40
396	40,327
397	40,47
398	40,327
399	47
400	47
401	49
402	53
403	53
404	53
405	53
406	53
407	53
408	53
409	53
410	53
411	55
412	55
413	55
414	55
415	55,151
416	55
417	55
418	55
419	63
420	63
421	73,305
422	74
423	85
424	85
425	90
426	90
427	93
428	101
429	105
430	105
431	105
432	105
433	105
434	105
435	105
436	125
437	125
438	127
439	132,212
440	132
441	132,268,300
442	132,268,300
443	132,268,300
444	132,268,300
445	132,268,300
446	132,268,300
447	132,268,300
448	132,268,300
449	132,268,300
450	132,268,300
451	132,268,300
452	132,268,300
453	132,268,300
454	132
455	132,268,300
456	132,268,300
457	132,268,300
458	132,268,300
459	132,268,300
460	132,268,300
461	132,268,300
462	151
463	151
464	151
465	151
466	151
467	151
468	151
469	151
470	168
471	168
472	168
473	175
474	175
475	175
476	189
477	189
478	189
479	189
480	189,226
481	189
482	189
483	189
484	189
485	189
486	189
487	204,305,328
488	212
489	218
490	226
491	256
492	256
493	256
494	256
495	256
496	256
497	263
498	263
499	263
500	263
501	263
502	263
503	263
504	263
505	263
506	263
507	263
508	263
509	263
510	263
511	263
512	263
513	263
514	263
515	271
516	271
517	280
518	280
519	280
520	304
521	304
522	304
523	305
524	305
525	305,328,333
526	305,328
527	305,328
528	305,328
529	305,328
530	305,328,333
531	305
532	305
533	305
534	305
535	305
536	305
537	305
538	305
539	305
540	305
541	305
542	305
543	305,328
544	305,328
545	305,328
546	313
547	313
548	313
549	329
550	329
551	329
552	329
553	329
554	329
555	329
556	329
557	329
558	329
559	329
560	329
561	329
562	329
563	329
564	329
565	329
566	329
567	329
568	329
569	329
570	329
571	329
572	331
573	331
574	331
575	331
576	331,344
577	331
578	332
579	332
580	332
581	333
582	333
583	333
584	333
585	333
586	335
587	344
588	344
589	374,375,376,377,378,379,380,381,382,383,384,412,413,415,417,418,476,480,481,490
590	419,420
591	523,524
592	389,390,394,395,401,427
593	462,463,464,465,468,469
594	399,400,544,545,587,588
595	497,498,499,505,506,507,508,509,510,511,512,513
596	363,402,403,404,405,406,407,408,409,410,500,501
597	411,414,416
598	361,466,467,517,518,520,521,546,547,548,578,579
599	367,368,369,551
600	549,550,552,553,554,555,556,557,558,559,560,561,565,566,567,568
601	385,477,482
602	478,479,483,486
603	423,424
604	391,392,393,396,398,428,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,488,586
605	525
606	526,527,528
607	572,573,574,575
608	473,474,475,515,516
609	491
610	370,373,388,425,426,434,435,470,471,472
611	362,364,365,366,582,583,584,585
612	562,563
613	386,581
614	484,485,522,529
615	530
616	502
617	503,504
618	564
619	421,531,532,533,534,535,536,537,538,539,540,541,542
620	429,430
621	431,432,433
622	519
623	397,492,493,494,495,496
624	387,514
625	371,372,436,437,580
626	422,438,487,489,543
627	576,577
628	569,570,571
629	590
630	591,603
631	605,609
632	606,607
633	608,612
634	593,597
635	589
636	615,616
637	592,618
638	600,621
639	619,620,622,624
640	610
641	625,626
642	594,602,627,628
643	631,632
644	598,613,614,635
645	617,636
646	623,640
647	596,601,633,634,644
648	599,604,611,630,637,638,639,641,642,646,647
649	595,648
650	629,643,645,649
