node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	9
340	12
341	3
342	5
343	23
344	13
345	17
346	13
347	3
348	5
349	72
350	90
351	1
352	3
353	2
354	55
355	2
356	4
357	4
358	9
359	8
360	12
361	4
362	6
363	6
364	16
365	11
366	12
367	9
368	5
369	1
370	20
371	3
372	18
373	22
374	18
375	17
376	5
377	3
378	3
379	3
380	3
381	3
382	9
383	10
384	7
385	3
386	10
387	10
388	4
389	2
390	4
391	4
392	6
393	6
394	6
395	6
396	6
397	8
398	9
399	8
400	8
401	7
402	7
403	8
404	7
405	6
406	5
407	5
408	7
409	6
410	6
411	8
412	8
413	5
414	5
415	5
416	5
417	10
418	7
419	7
420	10
421	6
422	7
423	6
424	4
425	17
426	17
427	18
428	5
429	9
430	8
431	6
432	9
433	5
434	4
435	4
436	7
437	2
438	6
439	6
440	5
441	8
442	5
443	8
444	6
445	3
446	6
447	5
448	8
449	9
450	9
451	9
452	16
453	16
454	16
455	7
456	8
457	5
458	6
459	6
460	5
461	5
462	6
463	7
464	8
465	8
466	8
467	9
468	9
469	2
470	8
471	2
472	7
473	8
474	7
475	6
476	7
477	9
478	8
479	9
480	9
481	7
482	7
483	6
484	8
485	8
486	6
487	4
488	6
489	6
490	6
491	6
492	4
493	5
494	5
495	5
496	8
497	8
498	6
499	6
500	8
501	8
502	8
503	7
504	7
505	7
506	6
507	6
508	17
509	4
510	4
511	17
512	17
513	10
514	1
515	2
516	2
517	2
518	13
519	4
520	3
521	1
522	2
523	1
524	3
525	1
526	1
527	2
528	5
529	5
530	2
531	2
532	2
533	2
534	51
535	52
536	3
537	4
538	4
539	2
540	2
541	8
542	2
543	1
544	21
545	2
546	1
547	88
548	7
549	2
550	5
551	19
552	8
553	4
554	7
555	6
556	5
557	5
558	5
559	6
560	7
561	8
562	5
563	4
564	38
565	40
566	40
567	38
568	43
569	37
570	10
571	10
572	9
573	11
574	18
575	14
576	14
577	21
578	21
579	21
580	6
581	9
582	9
583	17
584	9
585	8
586	8
587	7
588	7
589	42
590	7
591	5
592	3
593	8
594	38
595	2
596	3
597	3
598	2
599	5
600	3
601	2
602	2
603	124
604	5
605	2
606	7
607	4
608	36
609	36
610	12
611	3
612	4
613	4
614	3
615	3
616	12
617	13
618	102
619	4
620	4
621	4
622	3
623	1
624	3
625	3
626	2
627	4
628	4
629	4
630	62
631	3
632	1
633	74
634	5
635	3
636	3
637	8
638	13
639	12
640	13
641	13
642	36
643	35
644	35
645	35
646	29
647	29
648	36
649	36
650	34
651	34
652	34
653	34
654	36
655	34
656	36
657	34
658	29
659	34
660	34
661	34
662	52
663	2
664	3
665	1
666	13
667	2
668	21
669	39
670	6
671	13
672	12
673	13
674	13
675	12
676	13
677	6
678	11
679	12
680	12
681	11
682	11
683	15
684	9
685	15
686	9
687	12
688	8
689	17
690	18
691	18
692	13
693	13
694	15
695	15
696	16
697	16
698	20
699	19
700	20
701	21
702	21
703	22
704	22
705	23
706	16
707	17
708	17
709	18
710	18
711	19
712	19
713	20
714	20
715	21
716	23
717	22
718	17
719	18
720	20
721	19
722	22
723	13
724	18
725	13
726	17
727	17
728	16
729	21
730	22
731	18
732	3
733	2
734	2
735	4
736	4
737	2
738	55
739	2
740	3
741	3
742	3
743	20
744	3
745	3
746	1
747	1
748	1
749	1
750	1
751	1
752	1
753	4
754	100
755	2
756	2
757	2
758	2
759	3
760	3
761	3
762	3
763	3
764	4
765	1
766	2
767	1
768	3
769	9
770	13
771	11
772	10
773	10
774	9
775	17
776	7
777	5
778	5
779	10
780	10
781	10
782	7
783	7
784	7
785	7
786	3
787	2
788	2
789	2
790	2
791	9
792	1
793	1
794	2
795	1
796	1
797	4
798	5
799	4
800	4
801	6
802	9
803	7
804	6
805	4
806	4
807	5
808	2
809	15
810	2
811	19
812	3
