node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	1
380	9
381	12
382	82
383	75
384	23
385	13
386	11
387	12
388	12
389	11
390	17
391	13
392	10
393	11
394	11
395	11
396	3
397	11
398	72
399	90
400	6
401	4
402	1
403	3
404	2
405	55
406	2
407	4
408	4
409	9
410	8
411	9
412	12
413	6
414	6
415	16
416	11
417	12
418	9
419	4
420	1
421	20
422	3
423	22
424	5
425	3
426	3
427	3
428	3
429	3
430	10
431	9
432	44
433	10
434	7
435	3
436	10
437	10
438	4
439	2
440	2
441	5
442	2
443	2
444	5
445	5
446	4
447	4
448	32
449	32
450	32
451	22
452	22
453	9
454	8
455	9
456	8
457	8
458	8
459	7
460	6
461	5
462	5
463	7
464	6
465	6
466	8
467	8
468	5
469	5
470	5
471	5
472	10
473	7
474	7
475	10
476	3
477	4
478	3
479	4
480	4
481	5
482	4
483	4
484	5
485	6
486	4
487	4
488	6
489	5
490	4
491	7
492	6
493	4
494	17
495	17
496	18
497	5
498	9
499	8
500	6
501	9
502	5
503	4
504	4
505	7
506	2
507	6
508	6
509	5
510	8
511	5
512	8
513	6
514	3
515	6
516	5
517	8
518	9
519	9
520	9
521	16
522	16
523	16
524	7
525	8
526	5
527	6
528	6
529	5
530	5
531	6
532	7
533	8
534	8
535	8
536	9
537	9
538	2
539	8
540	2
541	7
542	7
543	7
544	9
545	8
546	9
547	9
548	7
549	2
550	6
551	4
552	6
553	6
554	6
555	6
556	4
557	5
558	5
559	5
560	8
561	8
562	6
563	6
564	8
565	8
566	8
567	7
568	7
569	7
570	6
571	6
572	7
573	7
574	6
575	8
576	6
577	10
578	10
579	10
580	8
581	14
582	17
583	4
584	4
585	17
586	17
587	10
588	5
589	10
590	8
591	7
592	12
593	5
594	1
595	2
596	2
597	2
598	4
599	3
600	13
601	18
602	15
603	14
604	9
605	12
606	9
607	11
608	14
609	9
610	23
611	21
612	13
613	14
614	16
615	15
616	15
617	9
618	10
619	10
620	19
621	16
622	15
623	14
624	13
625	15
626	13
627	13
628	15
629	13
630	20
631	20
632	21
633	2
634	16
635	3
636	3
637	12
638	9
639	9
640	1
641	3
642	1
643	1
644	2
645	5
646	5
647	2
648	2
649	2
650	4
651	8
652	3
653	3
654	51
655	52
656	3
657	3
658	4
659	3
660	4
661	3
662	4
663	3
664	2
665	8
666	2
667	2
668	3
669	3
670	6
671	37
672	38
673	8
674	7
675	4
676	3
677	22
678	31
679	33
680	31
681	31
682	18
683	40
684	22
685	31
686	8
687	33
688	17
689	17
690	3
691	5
692	4
693	2
694	9
695	10
696	16
697	15
698	8
699	3
700	4
701	6
702	7
703	1
704	21
705	2
706	1
707	88
708	7
709	2
710	9
711	5
712	5
713	19
714	5
715	2
716	5
717	5
718	6
719	7
720	8
721	6
722	8
723	8
724	8
725	2
726	5
727	4
728	8
729	7
730	38
731	40
732	40
733	38
734	43
735	37
736	7
737	11
738	8
739	10
740	10
741	9
742	11
743	18
744	14
745	14
746	21
747	21
748	21
749	9
750	17
751	8
752	42
753	7
754	5
755	3
756	8
757	38
758	2
759	2
760	3
761	3
762	2
763	2
764	5
765	3
766	2
767	2
768	124
769	5
770	2
771	7
772	4
773	36
774	36
775	12
776	3
777	3
778	12
779	13
780	102
781	4
782	4
783	4
784	3
785	1
786	3
787	3
788	2
789	62
790	3
791	2
792	2
793	74
794	8
795	14
796	13
797	15
798	14
799	15
800	14
801	13
802	13
803	36
804	35
805	35
806	35
807	29
808	29
809	36
810	36
811	34
812	34
