node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	9
362	12
363	3
364	2
365	55
366	2
367	4
368	4
369	2
370	20
371	3
372	18
373	22
374	18
375	17
376	5
377	3
378	3
379	3
380	3
381	3
382	9
383	10
384	7
385	3
386	10
387	10
388	1
389	2
390	4
391	1
392	1
393	2
394	2
395	1
396	4
397	2
398	4
399	2
400	1
401	4
402	3
403	1
404	2
405	2
406	51
407	52
408	3
409	2
410	2
411	8
412	3
413	2
414	2
415	7
416	2
417	5
418	19
419	2
420	2
421	1
422	2
423	2
424	2
425	2
426	1
427	5
428	4
429	3
430	3
431	5
432	2
433	2
434	5
435	2
436	1
437	12
438	52
439	1
440	13
441	2
442	21
443	18
444	2
445	4
446	4
447	3
448	3
449	3
450	3
451	3
452	3
453	2
454	1
455	1
456	1
457	1
458	1
459	1
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	1
474	1
475	1
476	1
477	1
478	1
479	1
480	1
481	1
482	1
483	1
484	2
485	3
486	3
487	1
488	2
489	2
490	3
491	3
492	3
493	1
494	2
495	2
496	2
497	2
498	9
499	1
500	1
501	4
502	5
503	6
504	9
505	7
506	4
507	4
508	4
509	18
510	17
511	15
512	16
513	15
514	15
515	15
516	15
517	15
518	15
519	15
520	15
521	15
522	15
523	15
524	15
525	15
526	15
527	15
528	15
529	15
530	15
531	15
532	15
533	15
534	15
535	15
536	15
537	15
538	15
539	15
540	15
541	12
542	52
543	52
544	17
545	5
546	6
547	5
548	6
549	2
550	3
551	2
552	9
553	9
554	2
555	8
556	2
557	4
558	2
559	2
560	1
561	4
562	4
563	6
564	2
565	2
566	11
567	9
568	4
569	1
570	1
571	1
572	1
573	1
574	1
575	1
576	1
577	1
578	1
579	1
580	1
581	5
582	6
583	21
584	21
585	2
586	18
587	1
588	1
589	1
590	6
591	1
592	28
593	52
594	2
595	6
596	10
597	2
598	25
599	25
600	27
601	47
602	47
603	59
604	31
605	31
606	25
607	25
608	27
609	27
610	27
611	27
612	27
613	27
614	27
615	14
616	4
617	4
618	4
619	4
620	4
621	4
622	1
623	6
624	5
625	4
626	20
627	2
628	1
629	1
630	4
631	4
632	4
633	5
634	9
635	44
636	16
637	44
638	44
639	20
640	21
641	35
642	7
643	35
644	35
645	35
646	52
647	35
648	52
649	35
650	58
651	35
652	35
653	4
654	3
655	4
656	4
657	3
658	4
659	5
660	22
661	3
662	2
663	2
664	13
665	3
666	2
667	3
668	10
669	5
670	32
671	32
672	32
673	6
674	3
675	3
676	2
677	6
678	12
679	14
680	12
681	1
682	1
683	1
684	2
685	2
686	4
687	5
688	3
689	3
690	23
691	36
692	29
693	32
694	36
695	117
696	24
697	39
698	30
699	46
700	34
701	42
702	27
703	53
704	65
705	37
706	92
707	28
708	24
709	34
710	86
711	31
712	21
713	31
714	23
715	21
716	28
717	53
718	43
719	28
720	45
721	75
722	37
723	60
724	24
725	34
726	20
727	30
728	34
729	47
730	36
731	60
732	31
733	66
734	55
735	37
736	73
737	99
738	31
739	24
740	29
741	129
742	84
743	109
744	100
745	55
746	34
747	124
748	106
749	65
750	59
751	44
752	119
753	79
754	90
755	75
756	78
757	44
758	37
759	92
760	55
761	79
762	96
763	207
764	31
765	38
766	60
767	66
768	175
769	212
770	109
771	43
772	190
773	105
774	117
775	160
776	294
777	80
778	120
779	178
780	221
781	365
782	150
783	1193
784	741
785	2114
786	1315
787	1453
