node	children_node
361	0,165,224,225,249
362	0,165,224,225,249
363	4
364	5
365	5
366	5,263
367	5
368	5
369	5
370	7
371	7
372	8
373	9,132,329
374	9
375	9,274,305,328,339
376	9,132,268,300,329
377	9,274,305,328,339
378	9,274,305,328,339
379	9,132,212
380	9
381	9
382	9
383	9
384	9
385	9
386	9,125
387	9
388	9
389	9,132,268,300
390	9,132,268,300
391	10
392	10
393	10,189
394	10
395	10
396	10,189
397	10,189
398	10
399	10,189
400	10
401	10,189
402	11,144,319,349
403	11,144,319,349
404	26
405	28
406	29
407	29
408	30
409	30
410	31
411	31
412	38,39,234
413	38,39,234
414	38,39
415	38,39
416	40,327
417	40,47,90,94,95,101,132,212,260,268,289,300,327,335
418	40,47,90,94,95,101,132,212,260,268,289,300,327,335
419	40
420	40
421	40
422	40
423	40,327
424	40,47
425	40,327
426	45
427	47
428	47
429	49
430	50,132,329
431	50
432	50
433	50
434	50
435	50
436	53
437	53
438	53
439	53
440	53
441	53
442	53
443	53
444	53
445	55
446	55
447	55
448	55
449	55,151
450	55
451	55
452	55
453	59
454	59
455	61
456	63
457	63
458	63
459	67
460	68
461	68
462	68
463	73,305
464	74
465	76
466	77
467	77
468	80
469	80
470	84
471	85
472	85
473	86,250
474	90
475	90
476	93
477	101
478	105
479	105
480	105
481	105
482	105
483	105
484	105
485	108,135
486	110
487	114
488	116
489	116
490	116
491	116
492	116
493	117
494	117
495	124
496	124
497	124
498	125
499	125
500	125
501	125
502	125
503	125
504	125
505	125
506	125
507	127
508	129,186
509	131
510	131
511	132,329
512	132,329
513	132,335
514	132,329
515	132,329,335
516	132,329
517	132,329
518	132,329
519	132,329
520	132,329
521	132,329
522	132,329
523	132,329
524	132,329
525	132,329
526	132,329
527	132,329
528	132,329
529	132,329
530	132,329
531	132,329
532	132,329
533	132,329
534	132,329
535	132,329
536	132,329
537	132,329
538	132,329
539	132,329
540	132,329
541	132,329
542	132,329
543	132,329
544	132,289
545	132,289
546	132,212,329
547	132,212,329
548	132,329
549	132,268,300
550	132,268,300
551	132,268,300
552	132,268,300
553	132
554	132,268
555	134
556	134
557	142
558	144
559	144
560	147
561	147
562	151
563	151
564	151
565	151
566	151
567	151
568	151
569	151
570	165,224
571	165,224,225,249
572	168
573	168
574	168
575	170
576	175
577	175
578	175
579	189
580	189
581	189
582	189
583	189,226
584	189
585	189
586	189
587	189
588	189
589	200,355
590	200,355
591	204,305,328
592	211
593	212
594	218
595	226
596	235
597	235
598	236
599	240
600	253
601	253
602	256
603	256
604	256
605	256
606	256
607	256
608	260
609	263
610	263
611	263
612	263
613	263
614	263
615	263
616	263
617	263
618	263
619	263
620	263
621	263
622	263
623	263
624	263
625	263
626	263
627	271
628	271
629	272
630	274
631	274
632	274
633	280
634	280
635	280
636	280
637	290
638	298
639	298
640	298
641	298
642	298
643	304
644	304
645	304
646	305
647	305
648	305,328,333
649	305,328
650	305,328
651	305,328
652	305,328,333
653	305
654	305
655	305
656	305
657	305
658	305
659	305
660	305
661	305
662	305
663	305
664	305
665	305
666	305,328
667	305,328
668	305,328
669	307
670	313
671	313
672	313
673	329
674	329
675	329
676	329
677	329
678	329
679	329
680	329
681	329
682	329
683	329
684	329
685	329
686	329
687	329
688	329
689	329
690	329
691	329
692	329
693	329
694	329
695	329
696	329
697	329
698	331
699	331
700	331
701	331
702	331,344
703	331
704	332
705	332
706	332
707	333
708	333
709	333
710	333
711	333
712	344
713	344
714	347
715	347
716	347
717	352
718	352
719	629
720	391,392,393,394,395,396,397,398,399,400,401,446,447,449,451,452,579,583,584,595
721	646,647
722	402,403,412,413,414,415,558,559,560,561,589,590
723	410,411,419,422,429,476
724	373,374,376,379,380,381,382,383,384,389,390,430,435,511,512,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,546,547,548,549,550,551,552,554
725	370,371
726	562,563,564,565,568,569
727	427,428,667,668,712,713
728	426,466,467
729	488,489,490,491,492,498,499
730	500,501
731	600,638
732	601,639
733	609,610,611,617,618,619,620,621,622,623,624,625
734	361,362,570,571
735	366,436,437,438,439,440,441,442,443,444,612,613
736	445,448,450
737	364,566,567,633,634,643,644,670,671,672,704,705
738	375,377,378,675
739	673,674,676,677,678,679,680,681,682,683,684,685,689,690,691,695
740	508,592
741	575
742	513
743	493,494
744	406,407
745	372,487
746	580,585
747	581,582,586,588
748	544,642
749	456,457
750	545
751	509,510
752	459,717,718
753	363
754	431,434
755	432,433
756	471,472
757	640,641
758	453,454
759	557,635
760	416,417,418,423,425,553
761	502,503,504,596,597
762	495,496,497,555,556
763	468,469,669
764	648
765	649,650,651
766	698,699,700,701
767	473
768	576,577,578,627,628
769	477
770	602
771	458
772	385,388,409,474,475,483,484,572,573,574
773	365,367,368,369,708,709,710,711
774	637
775	686,687
776	405,707
777	470
778	652
779	614
780	615,616
781	486
782	688
783	714,715,716
784	645
785	420,421
786	463,653,654,655,656,657,658,659,660,661,662,663,664
787	460,461,462
788	478,479
789	480,481,482
790	636
791	455,598
792	692,693,694
793	465,587,599
794	424,603,604,605,606,607
795	485,608
796	630,631
797	408,626
798	386,387,505,506,706
799	464,507,591,594,666
800	665
801	632
802	593
803	702,703
804	696,697
805	404
806	725,759
807	734
808	732
809	742
810	740,741,743,781
811	744,757,758
812	749
813	771
814	787
815	753,754,755,767
816	751
817	752
818	721,756
819	805
820	724
821	761,762,763
822	728
823	764,770
824	765,766
825	768,775
826	726,736
827	784
828	720
829	750
830	777
831	745,774
832	778,779
833	723,782,783
834	739,789,795,796
835	785,786,788,790,791,792,797
836	772,801
837	719
838	729
839	798,799,800,802
840	727,747,803,804
841	806,807
842	837
843	816
844	730,731,821
845	811
846	814
847	823,824
848	737,776,827,828
849	829
850	780,832
851	793,794,836
852	769,808,809,810
853	748,815,819
854	849
855	735,746,825,826,848
856	820,822,838,841,852,853
857	830,843
858	722,812,817,831,842,844,845,846,854,856,857
859	738,760,773,818,833,834,835,839,840,851,855
860	733,859
861	813,847,850,860
