node	children_node
361	0,165
362	0,165,279
363	0,15,165,224,225,279
364	0,165,224,225,238,279
365	0,165,224,225,238,279
366	0,165,224,225,238,279
367	0,165
368	0,165,279
369	3,36,154,157
370	3,36,135,154
371	6
372	6
373	6
374	6
375	6
376	6
377	6
378	6
379	6
380	6
381	7
382	7
383	10,189
384	10
385	10,189
386	10,189
387	10,189
388	10,189
389	15
390	15
391	15
392	15
393	15
394	15,216
395	15,216
396	15,216
397	15
398	15
399	15
400	15,216
401	15
402	15
403	15,127
404	15
405	15,168
406	15,216
407	15,216
408	15
409	15
410	15
411	15
412	15,127
413	15,127
414	15
415	15
416	15
417	15
418	15
419	15
420	15
421	15,279
422	15,279
423	15,105,115
424	15
425	15
426	15
427	15
428	15
429	15
430	15
431	15
432	15
433	15
434	15
435	15
436	15
437	15,216
438	15
439	15,216
440	15
441	15
442	15
443	15
444	15,216
445	15,216
446	15,216
447	15,216
448	15,105,115
449	15,105,115
450	15,105,115
451	15
452	15
453	15
454	15
455	15
456	15
457	15
458	15
459	15
460	15,127
461	15
462	15
463	15
464	15
465	15
466	15
467	15
468	15
469	15
470	15
471	15,216
472	15
473	15,216
474	15,216
475	15
476	15
477	15
478	15
479	15
480	15
481	15
482	15
483	15
484	15
485	15
486	15
487	15
488	15
489	15
490	15
491	15,216
492	15,216
493	15,216
494	15,216
495	15,216
496	15,216
497	15
498	15
499	15,279
500	15
501	15
502	15
503	15,279
504	15
505	30
506	32
507	32,69
508	32
509	32
510	36
511	38
512	42
513	42,70,71,81,112,216
514	46
515	46,69,168,269,292,348
516	51,68
517	51,68
518	51,68
519	51,68,175
520	51,168
521	53
522	54
523	54,237
524	54
525	54,237
526	54,237
527	54
528	54,238
529	54,238
530	54
531	54,238
532	54,238,279
533	54,165,224,225,238
534	54,165,224,225,238
535	54,238,279
536	54,238,279
537	54,238,279
538	54,279
539	54,105
540	54,165,224
541	54,105
542	54,165,224
543	54,279
544	54,279
545	54,279
546	54,279
547	54
548	54
549	54
550	54,238
551	54
552	54,237
553	58,62,63,68,82,86,88,112,159,168,269,277,318
554	61,62,159,236,346
555	61,159
556	61,62,159,236
557	61,62,159,236
558	61,62,159,236
559	63,68
560	63,68
561	63,165,189,216
562	63,68,82,86,269,277,303
563	63,68
564	63,68
565	63,68
566	63,68
567	68
568	68
569	68
570	69,145,318
571	69
572	71
573	72,118,139,152,153,157
574	73
575	73
576	73
577	73,105
578	73,105
579	73,105
580	73,105
581	73,105
582	73,105,115,168
583	73,105,115,168
584	73,105,115,168
585	73,105,115,168
586	73,105,115,168
587	73,105,115,168
588	73,105,115,168
589	73,105,115,168
590	73,105,115,168
591	73,105,115,168
592	73,105,115,168
593	73,105,115,168
594	73,105,115,168
595	73,105,115,168
596	73,105,115,168
597	73,105,115,168
598	73,105,115,168
599	73,105,115,168
600	73,105,115,168
601	73,105,115,168
602	81,99,165,210,224,225,279
603	81,99
604	81
605	81
606	81
607	81
608	81
609	81
610	81,99
611	81,99
612	81
613	81
614	81,99
615	81,99
616	81
617	81
618	81
619	81
620	81
621	81
622	81
623	81
624	81
625	81
626	81
627	81
628	81
629	81,99
630	81,99
631	81,99,165,224,279
632	81,99,165,279
633	81,99,165,279
634	81,99,165,224,279
635	81,165,279
636	81,165,224,279
637	81,165,279
638	81,165,224,279
639	81,165,279
640	81,165,224,279
641	81,165,279
642	81,165,224,279
643	81,165,279
644	81,165,224,279
645	81,165,279
646	81,165,224,279
647	81,99,165,224,279
648	81,99,165,224,279
649	81,165,224,279
650	81,165,224,279
651	81,165,224,279
652	81,165,224,279
653	81,165,224,279
654	81,165,224,279
655	81,165,224,279
656	81
657	81
658	81
659	81,165,224,279
660	81,165,224,279
661	81,165,279
662	81,165,279
663	81,165,224,279
664	81
665	81
666	82
667	86
668	88
669	88,112,145,159,318
670	88
671	88
672	88
673	88
674	88
675	88
676	88
677	88
678	92,216,294
679	98,216,260,317
680	99
681	99
682	99
683	99
684	99
685	99
686	99
687	99
688	99
689	105
690	108
691	108,161
692	112
693	115
694	115
695	115
696	115,168
697	115,168
698	115
699	115
700	115
701	115
702	115
703	115
704	115
705	115
706	115,168
707	115,168
708	115,168
709	115,168
710	115
711	125
712	125
713	126
714	126
715	127
716	130
717	130
718	135
719	136
720	136
721	136
722	136
723	136
724	136
725	138,216
726	139,228,255
727	139,154,228
728	139,157,193,222,262
729	165
730	165,279
731	165,224,225
732	165,224,225
733	165,224,225
734	165,224,225,238
735	165,224,225,238
736	165,224,225,279
737	165,224,225,279
738	165,224,279
739	165,279
740	165,224,279
741	165,224,225
742	165,224,279
743	165,279
744	165,224,279
745	165
746	165,210,279
747	168,279
748	168,241,267
749	168
750	168
751	168
752	168
753	168
754	168
755	168
756	175
757	175
758	175
759	175
760	189,226
761	189
762	189,226
763	189
764	189
765	189
766	204,217
767	210
768	210
769	210,279
770	210
771	210
772	210,279
773	210,279
774	210,279
775	216
776	216
777	216
778	216
779	216
780	216
781	216
782	216
783	216
784	216
785	216
786	216
787	216
788	216
789	216
790	216
791	216
792	216
793	216
794	216
795	216
796	216
797	216
798	216
799	216
800	216
801	216
802	216
803	216
804	216
805	216
806	216
807	216
808	216
809	216
810	216
811	216
812	222
813	238,279
814	238
815	238
816	238
817	238
818	238
819	238
820	238
821	238
822	238,279
823	238,279
824	238
825	238,279
826	238
827	238
828	238
829	238
830	238
831	238
832	238
833	238,279
834	238,279
835	238,279
836	238,279
837	238
838	238,279
839	238
840	241
841	246
842	246
843	246
844	250
845	250
846	250
847	250
848	277
849	279
850	279
851	279
852	279
853	279
854	279
855	279
856	279
857	279
858	279
859	279
860	279
861	279
862	279
863	279
864	279
865	279
866	279
867	279
868	279
869	279
870	279
871	281
872	292
873	309
874	309
875	329
876	329
877	329
