node_name	children_node_name
R-HSA-1676048	P48736,P42338,P42336,P27986,O00329
R-HSA-1676109	P48736,P42338,P42336,P27986,O00329
R-HSA-2045911	P27986,O00329
R-HSA-2076220	P62993,P27986,O00329
R-HSA-2316434	Q9NWZ3,Q92731,P62993,P42338,P42336,P27986,P12931,P11362,P10721,P09038,P08581,P06239,P04626,P03372,P00533,O00329
R-HSA-2400009	Q92731,P62993,P42338,P42336,P27986,P12931,P11362,P10721,P09038,P08581,P06239,P04626,P03372,P00533,O00329
R-HSA-9012657	P48736,P42338,P42336,P27986,O60674,O00329
R-HSA-9021627	P48736,P42338,P42336,P27986,O60674,O00329
R-HSA-9027275	P48736,P42338,P42336,P27986,O60674,O00329
R-HSA-9027280	P48736,P42338,P42336,P27986,O60674,O00329
R-HSA-9606160	P27986,O00329
R-HSA-9606887	P62993,P27986,O00329
R-HSA-157629	O14672
R-HSA-157632	P78536,O14672
R-HSA-2220944	P78536,O14672
R-HSA-2220976	P78536,O14672
R-HSA-2666278	P78536,O14672
R-HSA-2730752	P78536,O14672
R-HSA-9013284	O14672
R-HSA-9604264	O14672
R-HSA-2161660	O14684
R-HSA-193705	O14920
R-HSA-209087	O14920
R-HSA-1483182	O14939
R-HSA-71200	O15229
R-HSA-1368065	Q92793,P19793,O15379
R-HSA-1368069	O15379
R-HSA-1912388	Q9BY41,Q92769,Q13547,P56524,O15379
R-HSA-1989765	Q92793,Q13133,P55055,P19793,O15379
R-HSA-2220982	Q9BY41,Q92769,Q13547,P56524,O15379
R-HSA-350058	Q9BY41,Q92769,Q13547,P56524,O15379
R-HSA-381290	P37231,P19793,O15379
R-HSA-5663245	O15379
R-HSA-5663252	O15379
R-HSA-5663258	O15379
R-HSA-5663265	O15379
R-HSA-5663271	O15379
R-HSA-6807077	Q92769,Q13547,O60341,O15379
R-HSA-8944104	Q92769,Q13547,P37231,P05412,O60341,O15379
R-HSA-9024326	Q13133,P55055,P19793,O15379
R-HSA-9024334	Q13133,P55055,P19793,O15379
R-HSA-437192	O15530
R-HSA-437195	O15530
R-HSA-5218821	Q05655,P17252,O15530
R-HSA-9632858	O15530
R-HSA-9632906	O15530
R-HSA-9632918	O15530
R-HSA-1475017	Q9ULX7,Q16790,P22748,O43570
R-HSA-1475025	Q9ULX7,Q16790,P22748,O43570
R-HSA-5625848	P10275,O60341
R-HSA-5625849	P10275,O60341
R-HSA-5625870	P10275,O60341
R-HSA-9011984	P03372,O60341
R-HSA-9011985	P03372,O60341
R-HSA-1067646	O60674
R-HSA-1067651	O60674
R-HSA-1067659	O60674
R-HSA-1067688	O60674
R-HSA-109857	O60674
R-HSA-1112510	O60674
R-HSA-1112514	O60674
R-HSA-1112703	O60674
R-HSA-1112708	O60674
R-HSA-2586553	O60674
R-HSA-2586555	O60674
R-HSA-2586559	O60674
R-HSA-2671742	O60674
R-HSA-2671747	O60674
R-HSA-2671829	O60674
R-HSA-2671839	P40763,O60674
R-HSA-2671850	P40763,O60674
R-HSA-2671855	O60674
R-HSA-2671862	O60674
R-HSA-2671868	P40763,O60674
R-HSA-2671872	O60674
R-HSA-2671873	O60674
R-HSA-2671876	O60674
R-HSA-2672302	O60674
R-HSA-5672969	P15056,P12931,O60674
R-HSA-6802916	P15056,P12931,O60674
R-HSA-6802924	P15056,P12931,O60674
R-HSA-6802941	P15056,P12931,O60674
R-HSA-9024723	O60674
R-HSA-9024726	O60674
R-HSA-9027273	O60674
R-HSA-9027274	O60674
R-HSA-9027281	O60674
R-HSA-9029149	P62993,O60674
R-HSA-9029150	P62993,O60674
R-HSA-9029151	P62993,O60674
R-HSA-9029155	O60674
R-HSA-9029158	P62993,O60674
R-HSA-3928577	Q13464,O75116
R-HSA-3928616	Q13464,O75116
R-HSA-419083	Q13464,O75116
R-HSA-419087	Q13464,O75116
R-HSA-419197	Q13464,O75116
R-HSA-70609	O94925
R-HSA-419428	Q99500,P21453,O95977,O95136
R-HSA-977317	O95822
R-HSA-197963	P00374
R-HSA-197972	P00374
R-HSA-2130194	P00519
R-HSA-1250195	P04626,P00533
R-HSA-1250463	P62993,P04626,P00533
R-HSA-1250486	P62993,P04626,P00533
R-HSA-177923	P62993,P12931,P00533
R-HSA-177925	P00533
R-HSA-177926	P62993,P00533
R-HSA-177933	P00533
R-HSA-177936	P62993,P00533
R-HSA-177945	P62993,P00533
R-HSA-182969	P00533
R-HSA-182986	P00533
R-HSA-182990	P00533
R-HSA-182993	P00533
R-HSA-182994	P62993,P00533
R-HSA-183002	P62993,P00533
R-HSA-183036	P62993,P00533
R-HSA-183051	P00533
R-HSA-183055	P00533
R-HSA-183058	P62993,P00533
R-HSA-183067	P62993,P00533
R-HSA-183072	P00533
R-HSA-183084	P62993,P00533
R-HSA-183089	P00533
R-HSA-1963578	P04626,P00533
R-HSA-6785636	P04626,P00533
R-HSA-6785648	P04626,P00533
R-HSA-8847995	P04626,P00533
R-HSA-8848005	P04626,P00533
R-HSA-8857925	P12931,P06239,P00533
R-HSA-8863804	P04626,P00533
R-HSA-8867041	P62993,P00533
R-HSA-8867044	P62993,P00533
R-HSA-8867047	P62993,P00533
R-HSA-8951490	P62993,P00533
R-HSA-9018572	P00533
R-HSA-9018573	P00533
R-HSA-9625465	P00533
R-HSA-9625482	P00533
R-HSA-9625487	P00533
R-HSA-1475022	P43166,P00918,P00915
R-HSA-1475026	P43166,P00918,P00915
R-HSA-1475435	P00918,P00915
R-HSA-1475436	P00918,P00915
R-HSA-9021170	Q92731,P03372
R-HSA-9021609	Q92731,P12931,P03372
R-HSA-9021660	Q92731,P42336,P27986,P12931,P03372
R-HSA-9027670	Q92731,P03372
R-HSA-9633044	Q92731,P03372
R-HSA-8931981	P03372
R-HSA-8932020	P03372
R-HSA-8932021	P03372
R-HSA-8932033	P03372
R-HSA-8932037	P03372
R-HSA-8932076	P03372
R-HSA-8932084	P03372
R-HSA-8939201	Q92731,P03372
R-HSA-9008258	P03372
R-HSA-9008270	P03372
R-HSA-9008271	P03372
R-HSA-9008285	P03372
R-HSA-9008315	P03372
R-HSA-9009371	P05412,P03372
R-HSA-9009378	P05412,P03372
R-HSA-9009526	P03372
R-HSA-9009533	P03372
R-HSA-9009536	P03372
R-HSA-9009541	P03372
R-HSA-9011941	P10415,P03372
R-HSA-9011949	P03372
R-HSA-9011950	P03372
R-HSA-9011952	P03372
R-HSA-9011966	P03372
R-HSA-9011971	P03372
R-HSA-9011975	P03372
R-HSA-9011981	P03372
R-HSA-9011983	P03372
R-HSA-9011997	P03372
R-HSA-9012000	P03372
R-HSA-9012315	P03372
R-HSA-9012319	P03372
R-HSA-9018334	P03372
R-HSA-9018497	P03372
R-HSA-9018499	P03372
R-HSA-9018505	P03372
R-HSA-9023840	P03372
R-HSA-9023846	P03372
R-HSA-9023859	P03372
R-HSA-9023860	P03372
R-HSA-9023861	P03372
R-HSA-9023884	P03372
R-HSA-9038029	Q92731,P03372
R-HSA-9038052	Q92793,P03372
R-HSA-9038161	P08238,P07900,P03372
R-HSA-9038163	P03372
R-HSA-1605591	P04062
R-HSA-1358792	P04626
R-HSA-1358798	P04626
R-HSA-1989764	Q92793,P19793,P04798
R-HSA-76472	P04798
R-HSA-9037761	P04798
R-HSA-5138432	P17252,P05129
R-HSA-751040	Q05655,P17252,P05129
R-HSA-8982703	Q05655,P17252,P05129
R-HSA-8982709	Q05655,P17252,P05129
R-HSA-3222533	P05412
R-HSA-3797196	P05412
R-HSA-450292	P05412
R-HSA-4568737	P05412
R-HSA-5692788	P05412
R-HSA-8944047	P28482,P05412
R-HSA-1433506	P12931,P10721,P06239
R-HSA-1472121	P12931,P10721,P06239
R-HSA-205205	P12931,P10721,P06239
R-HSA-205244	P62993,P12931,P10721,P06239
R-HSA-205319	P12931,P10721,P06239
R-HSA-388814	P62993,P06239
R-HSA-388832	P42336,P27986,P06239
R-HSA-389158	P42336,P27986,P06239
R-HSA-389348	P62993,P06239
R-HSA-389352	P62993,P06239
R-HSA-389354	P62993,P06239
R-HSA-112342	P06493
R-HSA-5692755	P06493
R-HSA-3132753	P07477
R-HSA-5693319	P07477
R-HSA-2161538	P08183
R-HSA-1604731	P08254
R-HSA-2179402	P08254
R-HSA-2179413	P17252,P08254
R-HSA-354077	P12931,P08514
R-HSA-354087	P62993,P12931,P08514
R-HSA-354149	P12931,P08514
R-HSA-354165	P62993,P12931,P08514
R-HSA-372693	P12931,P08514
R-HSA-372697	P12931,P08514
R-HSA-372705	P12931,P08514
R-HSA-377641	P12931,P08514
R-HSA-377644	P12931,P08514
R-HSA-5672972	P28482,P15056,P12931,P08514
R-HSA-5672973	P28482,P15056,P12931,P08514
R-HSA-5672978	P28482,P15056,P12931,P08514
R-HSA-5672980	P28482,P15056,P12931,P08514
R-HSA-6802910	P28482,P15056,P12931,P08514
R-HSA-6802911	P28482,P15056,P12931,P08514
R-HSA-6802912	P28482,P15056,P12931,P08514
R-HSA-6802914	P28482,P15056,P12931,P08514
R-HSA-6802918	P28482,P15056,P12931,P08514
R-HSA-6802919	P28482,P15056,P12931,P08514
R-HSA-6802921	P28482,P15056,P12931,P08514
R-HSA-6802922	P28482,P15056,P12931,P08514
R-HSA-6802925	P28482,P15056,P12931,P08514
R-HSA-6802926	P28482,P15056,P12931,P08514
R-HSA-6802942	P28482,P15056,P12931,P08514
R-HSA-6802943	P28482,P15056,P12931,P08514
